2021-11-25T14:43:19.572930667+03:00:INFO - Welcome to the neon! :)
2021-11-25T14:43:19.573585546+03:00:INFO - Starting app
2021-11-25T14:43:19.647945425+03:00:DEBUG - Initializing 
2021-11-25T14:43:19.648364249+03:00:DEBUG - Starting handling events
2021-11-25T14:43:19.648885178+03:00:DEBUG - Enabled raw mode
2021-11-25T14:44:12.910203917+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:12.955210943+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:13.234323701+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:13.418844468+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:13.618318295+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:13.817853859+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:13.997405313+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:14.122110840+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:14.316563809+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:14.351508172+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:14.386605971+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:14.447011278+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:14.591006229+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:14.601069031+03:00:DEBUG - Key pressed: KeyEvent { code: Char('a'), modifiers: NONE }
2021-11-25T14:44:14.705633939+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:14.766382085+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:14.990903477+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:15.000918928+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:15.011481218+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:15.095994061+03:00:DEBUG - Key pressed: KeyEvent { code: Char('g'), modifiers: NONE }
2021-11-25T14:44:15.240313481+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:15.434718469+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:15.559464991+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:15.749629083+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:15.764584517+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:15.794661949+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:16.048831960+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:16.103726979+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:16.123816477+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:16.188502136+03:00:DEBUG - Key pressed: KeyEvent { code: Char('g'), modifiers: NONE }
2021-11-25T14:44:16.323182466+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:16.343267842+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:16.358165868+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:16.528683170+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:16.627443838+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:16.687399870+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:16.697514563+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:16.797780258+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:16.897501419+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:16.963032129+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:17.037189963+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:17.107034828+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:17.206865775+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:17.231809282+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:17.301712672+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:17.401381733+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:17.501087948+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:17.550963788+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:17.685629450+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:17.711643657+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:17.835976799+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:17.925719244+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:17.952275610+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:18.085312140+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:18.145326836+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:18.230220018+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:18.354808560+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:18.854721322+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:18.904670632+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:18.955139683+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.004960699+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.054670252+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.105187980+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.155276688+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.205555218+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.255648675+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.306081269+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.355990631+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.405814021+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.455733858+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.505624922+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.555658318+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.605602669+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.656300581+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:19.707128184+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:20.001433878+03:00:DEBUG - Key pressed: KeyEvent { code: Char('s'), modifiers: NONE }
2021-11-25T14:44:20.081270866+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:20.126255959+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.626052290+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.675861921+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.725833858+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.775598653+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.825558508+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.876234979+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.927651113+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:20.977991869+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:21.027720627+03:00:DEBUG - Key pressed: KeyEvent { code: Char('v'), modifiers: NONE }
2021-11-25T14:44:22.595344816+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:31.857100850+03:00:DEBUG - Key pressed: KeyEvent { code: Char('q'), modifiers: CONTROL }
2021-11-25T14:44:31.860020463+03:00:INFO - Goodbye!
